plant,Cusol,Cuexch,Cuacid,Cutot,basR
U,55.1,36.8,1251.7,3055,3.159
U,53.7,42.2,591.5,2969.2,4.871
U,57.1,27.8,1060.1,2733.7,3.882
U,55.5,50.7,1009.6,3118.5,4.54
U,,,,,3.768
U,43.8,29.2,1090.2,1662.8,2.98
U,45.3,39,1390,2666.7,3.17
U,46.8,31.1,1365.6,2735.7,4.092
U,45.5,20.3,1487.2,2910.1,2.873
U,,,,,2.81
U,,,,,3.099
U,39.2,67.5,1453,2499.1,3.874
U,37.8,56,1454.9,2247.8,3.829
U,38.6,38.6,1498.3,2917.1,3.648
U,41.6,60.6,1324.2,2535.1,3.562
U,,,,,3.668
F,70.7,31.8,804.3,2297.5,5.621
F,71.8,49.1,883.6,2220.2,5.075
F,71.8,37.3,722,2500.5,6.684
F,73.6,52.1,991.1,2456.8,5.232
F,,,,,5.571
F,42.8,8.4,1210.8,2774.4,3.842
F,42.9,15.7,1154.2,2683.5,3.396
F,44,6.2,1540.5,2352.7,3.033
F,43.6,25.1,1204.3,1916.6,3.356
F,,,,,3.347
F,,,,,3.877
F,101.6,58.1,1683.3,2466.9,4.065
F,102.1,50.2,2003.1,2460.4,3.806
F,101,34.7,1271.5,2404.6,3.776
F,101.3,36.1,1898.7,2066.6,3.529
F,,,,,3.239
I,132.6,41.5,1852.3,2857.1,1.608
I,135.2,31.4,1740.1,3316.5,1.94
I,133.4,47.5,2120.6,3054.4,2.129
I,135.3,56.1,1754.3,3131.3,2.565
I,,,,,2.135
I,80.1,18,2085.8,1335.2,1.996
I,80.1,27.1,2077.8,948.2,1.836
I,80.3,42.2,1804.1,1630.2,1.743
I,80.8,24.4,2022.5,1108.4,1.855
I,,,,,1.852
I,,,,,2.016
I,53.2,34.4,1743.8,2179.8,1.648
I,52.2,52.7,1341.7,2710.5,1.525
I,52.5,36.5,840,2557.1,1.641
I,53.2,41.9,933.2,2835.6,1.413
I,,,,,1.543
B,39.2,67.8,2756.6,1985.1,3.954
B,39.6,74.1,2585.7,2441.9,3.876
B,39.6,55.5,2828.2,2796.4,4.038
B,39.9,59.7,3227.7,2144.4,4.556
B,,,,,3.739
B,29.7,51.8,4106.2,3851.9,3.431
B,30.4,55.1,4328.1,3694.5,4.671
B,33.1,55.6,4647,3481.6,3.466
B,31.5,53.2,4661.9,3330.8,4.187
B,,,,,3.352
B,,,,,3.661
B,28.2,34.8,1126.8,3389.7,4.701
B,29.4,39.1,559.4,3541.2,4.875
B,29.9,43.1,1327.6,3778.5,5.054
B,28,38.6,1223.1,3224.9,5.1
B,,,,,4.409
